Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,201.419998,201.759995,200.910004,201.520004,182.660446,56395600
2015-10-13,200.649994,202.160004,200.050003,200.250000,181.509308,88038700
2015-10-14,200.179993,200.869995,198.940002,199.289993,180.639114,99106200
2015-10-15,200.080002,202.360001,199.639999,202.350006,183.412781,134142200
2015-10-16,202.830002,203.289993,201.919998,203.270004,184.246704,114580100
2015-10-19,202.500000,203.369995,202.130005,203.369995,184.337296,76523900
2015-10-20,202.850006,203.839996,202.550003,203.110001,184.101685,78448500
2015-10-21,203.610001,203.789993,201.649994,201.850006,182.959595,102038000
2015-10-22,202.979996,205.509995,201.850006,205.259995,186.050446,174911700
2015-10-23,207.250000,207.949997,206.300003,207.509995,188.089859,144442300
2015-10-26,207.300003,207.369995,206.559998,207.000000,187.627609,69033000
2015-10-27,206.199997,207.000000,205.789993,206.600006,187.265030,77905800
2015-10-28,207.000000,208.979996,206.210007,208.949997,189.395096,135906700
2015-10-29,208.350006,209.270004,208.210007,208.830002,189.286316,90525500
2015-10-30,209.059998,209.440002,207.740005,207.929993,188.470566,131076900
2015-11-02,208.320007,210.619995,208.169998,210.389999,190.700363,86270800
2015-11-03,209.970001,211.660004,209.699997,211.000000,191.253250,95246100
2015-11-04,211.350006,211.500000,209.720001,210.360001,190.673111,96224500
2015-11-05,210.429993,210.979996,209.089996,210.149994,190.482803,78408700
2015-11-06,209.740005,210.320007,208.460007,210.039993,190.383087,110471500
2015-11-09,209.309998,209.490005,206.949997,208.080002,188.606522,131008700
2015-11-10,207.509995,208.600006,207.190002,208.559998,189.041580,75874600
2015-11-11,208.880005,208.940002,207.660004,207.740005,188.298370,67846000
2015-11-12,206.500000,207.059998,204.820007,204.839996,185.669739,121315200
2015-11-13,204.350006,204.669998,202.440002,202.539993,183.584976,153577100
2015-11-16,202.320007,205.690002,202.179993,205.619995,186.376755,117645200
2015-11-17,205.990005,207.039993,204.880005,205.470001,186.240799,121123700
2015-11-18,206.039993,208.899994,205.990005,208.729996,189.195709,121342500
2015-11-19,208.589996,209.050003,208.199997,208.550003,189.032562,88220500
2015-11-20,209.449997,210.119995,208.860001,209.309998,189.721420,94011500
2015-11-23,209.380005,209.979996,208.520004,209.070007,189.503830,64931200
2015-11-24,207.869995,209.830002,207.410004,209.350006,189.757660,98874400
2015-11-25,209.500000,209.740005,209.009995,209.320007,189.730499,51980100
2015-11-27,209.429993,209.800003,208.860001,209.559998,189.948029,37317800
2015-11-30,209.750000,209.889999,208.559998,208.690002,189.159454,112822700
2015-12-01,209.440002,210.820007,209.110001,210.679993,190.963196,97858400
2015-12-02,210.619995,211.000000,208.229996,208.529999,189.014420,108441300
2015-12-03,208.830002,209.149994,204.750000,205.610001,186.367691,166224200
2015-12-04,205.610001,209.970001,205.610001,209.619995,190.002411,192913900
2015-12-07,209.229996,209.729996,207.199997,208.350006,188.851273,102027100
2015-12-08,206.490005,208.289993,205.779999,206.949997,187.582275,103372400
2015-12-09,206.190002,208.679993,204.179993,205.339996,186.122940,162401500
2015-12-10,205.419998,207.429993,205.139999,205.869995,186.603348,116128900
2015-12-11,203.350006,204.139999,201.509995,201.880005,182.986755,211173300
2015-12-14,202.070007,203.050003,199.949997,202.899994,183.911285,182385200
2015-12-15,204.699997,206.110001,202.869995,205.029999,185.841949,154069600
2015-12-16,206.369995,208.389999,204.800003,208.029999,188.561188,197017000
2015-12-17,208.399994,208.479996,204.839996,204.860001,185.687866,173092500
2015-12-18,202.770004,202.929993,199.830002,200.020004,182.379852,251393500
2015-12-21,201.410004,201.880005,200.089996,201.669998,183.884308,99094300
2015-12-22,202.720001,203.850006,201.550003,203.500000,185.552948,111026200
2015-12-23,204.690002,206.070007,204.580002,206.020004,187.850708,110987200
2015-12-24,205.720001,206.330002,205.419998,205.679993,187.540649,48539600
2015-12-28,204.860001,205.259995,203.940002,205.210007,187.112167,65899900
2015-12-29,206.509995,207.789993,206.470001,207.399994,189.108963,92640700
2015-12-30,207.110001,207.210007,205.759995,205.929993,187.768616,63317700
2015-12-31,205.130005,205.889999,203.869995,203.869995,185.890274,114877900
